ssh_cipher,classification
chacha20-poly1305@openssh.com,Strong
aes128-gcm@openssh.com,Strong
aes256-gcm@openssh.com,Strong
aes128-ctr,Strong
aes192-ctr,Strong
aes256-ctr,Strong
aes128-cbc,Strong
aes192-cbc,Strong
aes256-cbc,Strong
3des-cbc,Weak
blowfish-cbc,Moderate
cast128-cbc,Moderate
twofish256-cbc,Strong
twofish192-cbc,Strong
twofish128-cbc,Strong
serpent256-cbc,Strong
serpent192-cbc,Strong
serpent128-cbc,Strong
arcfour,Weak
arcfour128,Weak
arcfour256,Weak
idea-cbc,Weak
rijndael-cbc@lysator.liu.se,Strong
