dataset,json_name,json_type,asim_name,sentinel_name,suffixed_name
x509,_path,string,,_path,_path_s
x509,_system_name,string,,_system_name,_system_name_s
x509,_write_ts,time,,_write_ts,_write_ts_t
x509,ts,time,,ts,ts_t
x509,fingerprint,string,,fingerprint,fingerprint_s
x509,certificate.version,count,CertificateVersion,certificate_version,certificate_version_d
x509,certificate.serial,string,CertificateSerial,certificate_serial,certificate_serial_s
x509,certificate.subject,string,CertificateSubject,certificate_subject,certificate_subject_s
x509,certificate.issuer,string,CertificateIssuer,certificate_issuer,certificate_issuer_s
x509,certificate.not_valid_before,time,CertificateNotValidBefore,certificate_not_valid_before,certificate_not_valid_before_t
x509,certificate.not_valid_after,time,CertificateNotValidAfter,certificate_not_valid_after,certificate_not_valid_after_t
x509,certificate.key_alg,string,CertificateKeyAlg,certificate_key_alg,certificate_key_alg_s
x509,certificate.sig_alg,string,CertificateSigAlg,certificate_sig_alg,certificate_sig_alg_s
x509,certificate.key_type,string,CertificateKeyType,certificate_key_type,certificate_key_type_s
x509,certificate.key_length,count,CertificateKeyLength,certificate_key_length,certificate_key_length_d
x509,certificate.exponent,string,CertificateExponent,certificate_exponent,certificate_exponent_s
x509,certificate.curve,string,CertificateCurve,certificate_curve,certificate_curve_s
x509,san.dns,array of string,SanDns,san_dns,san_dns_s
x509,san.uri,array of string,SanUri,san_uri,san_uri_s
x509,san.email,array of string,SanEmail,san_email,san_email_s
x509,san.ip,array of addr,SanIp,san_ip,san_ip_s
x509,basic_constraints.ca,boolean,BasicConstraintsCa,basic_constraints_ca,basic_constraints_ca_b
x509,basic_constraints.path_len,count,BasicConstraintsPathLen,basic_constraints_path_len,basic_constraints_path_len_d
x509,host_cert,boolean,,host_cert,host_cert_b
x509,client_cert,boolean,,client_cert,client_cert_b
syslog,_path,string,,_path,_path_s
syslog,_system_name,string,,_system_name,_system_name_s
syslog,_write_ts,time,,_write_ts,_write_ts_t
syslog,ts,time,,ts,ts_t
syslog,uid,string,Uid,uid,uid_s
syslog,id.orig_h,addr,SrcIpAddr,id_orig_h,id_orig_h_s
syslog,id.orig_p,port,SrcPort,id_orig_p,id_orig_p_d
syslog,id.resp_h,addr,DstIpAddr,id_resp_h,id_resp_h_s
syslog,id.resp_p,port,DstPort,id_resp_p,id_resp_p_d
syslog,proto,string,,proto,proto_s
syslog,facility,string,,facility,facility_s
syslog,severity,string,,severity,severity_s
syslog,message,string,,message,Message
log4shell,_path,string,,_path,_path_s
log4shell,_system_name,string,,_system_name,_system_name_s
log4shell,_write_ts,time,,_write_ts,_write_ts_t
log4shell,ts,time,,ts,ts_t
log4shell,uid,string,Uid,uid,uid_s
log4shell,http_uri,string,,http_uri,http_uri_s
log4shell,uri,string,UrlOriginal,uri,uri_s
log4shell,stem,string,,stem,stem_s
log4shell,target_host,string,,target_host,target_host_s
log4shell,target_port,string,,target_port,target_port_s
log4shell,method,string,HttpRequestMethod,method,method_s
log4shell,is_orig,boolean,IsOrig,is_orig,is_orig_b
log4shell,name,string,ShareRelativeTargetName,name,name_s
log4shell,value,string,,value,value_s
log4shell,matched_name,boolean,,matched_name,matched_name_b
log4shell,matched_value,boolean,,matched_value,matched_value_b
smtp_links,_path,string,,_path,_path_s
smtp_links,_system_name,string,,_system_name,_system_name_s
smtp_links,_write_ts,time,,_write_ts,_write_ts_t
smtp_links,ts,time,,ts,ts_t
smtp_links,uid,string,Uid,uid,uid_s
smtp_links,id.orig_h,addr,SrcIpAddr,id_orig_h,id_orig_h_s
smtp_links,id.orig_p,port,SrcPort,id_orig_p,id_orig_p_d
smtp_links,id.resp_h,addr,DstIpAddr,id_resp_h,id_resp_h_s
smtp_links,id.resp_p,port,DstPort,id_resp_p,id_resp_p_d
smtp_links,fuid,string,ZeekIdFuid,fuid,fuid_s
smtp_links,link,string,,link,link_s
smtp_links,domain,string,SrcDomain,domain,domain_s
zeek_doctor,_path,string,,_path,_path_s
zeek_doctor,_system_name,string,,_system_name,_system_name_s
zeek_doctor,_write_ts,time,,_write_ts,_write_ts_t
zeek_doctor,ts,time,,ts,ts_t
zeek_doctor,node,string,Node,node,node_s
zeek_doctor,check,string,,check,check_s
zeek_doctor,total,count,,total,total_d
zeek_doctor,hits,count,,hits,hits_d
zeek_doctor,total_delta,count,,total_delta,total_delta_d
zeek_doctor,hits_delta,count,,hits_delta,hits_delta_d
zeek_doctor,percent,number,,percent,percent_d
ssl_red,_path,string,,_path,_path_s
ssl_red,_system_name,string,,_system_name,_system_name_s
ssl_red,_write_ts,time,,_write_ts,_write_ts_t
ssl_red,ts,time,,ts,ts_t
ssl_red,uid,string,Uid,uid,uid_s
ssl_red,id.orig_h,addr,SrcIpAddr,id_orig_h,id_orig_h_s
ssl_red,id.orig_p,port,SrcPort,id_orig_p,id_orig_p_d
ssl_red,id.resp_h,addr,DstIpAddr,id_resp_h,id_resp_h_s
ssl_red,id.resp_p,port,DstPort,id_resp_p,id_resp_p_d
ssl_red,version,string,Version,version,version_s
ssl_red,cipher,string,TlsCipher,cipher,cipher_s
ssl_red,curve,string,TlsCurve,curve,curve_s
ssl_red,server_name,string,TlsServerName,server_name,server_name_s
ssl_red,resumed,boolean,TlsResumed,resumed,resumed_b
ssl_red,last_alert,string,TlsLastAlert,last_alert,last_alert_s
ssl_red,next_protocol,string,TlsNextProtocol,next_protocol,next_protocol_s
ssl_red,established,boolean,TlsEstablished,established,established_b
ssl_red,ssl_history,string,,ssl_history,ssl_history_s
ssl_red,cert_chain_fps,array of string,,cert_chain_fps,cert_chain_fps_s
