ja3_md5,Firstseen,Lastseen,Listingreason
b386946a5a44d1ddcc843bc75336dfce,7/14/17 18:08,7/27/19 20:42,Dridex
8991a387e4cc841740f25d6f5139f92d,7/14/17 19:02,7/28/19 0:34,Adware
cb98a24ee4b9134448ffb5714fd870ac,7/14/17 19:48,5/22/19 3:22,Dridex
1aa7bf8b97e540ca5edd75f7b8384bfa,7/14/17 20:23,7/28/19 1:38,TrickBot
3d89c0dfb1fa44911b8fa7523ef8dedb,7/15/17 4:23,2/1/21 18:23,Adware
bc6c386f480ee97b9d9e52d472b772d8,7/15/17 10:57,3/13/21 7:33,Adware
8f52d1ce303fb4a6515836aec3cc16b1,7/15/17 19:05,7/27/19 20:00,TrickBot
d6f04b5a910115f4b50ecec09d40a1df,7/15/17 19:42,10/14/18 8:12,Dridex
35c0a31c481927f022a3b530255ac080,7/15/17 19:43,4/10/21 12:54,Tofsee
e330bca99c8a5256ae126a55c4c725c5,7/15/17 19:59,1/13/21 0:29,Adware
d551fafc4f40f1dec2bb45980bfa9492,7/15/17 19:59,11/16/20 13:06,Adware
83e04bc58d402f9633983cbf22724b02,7/16/17 1:32,3/2/21 4:07,Adware
b8f81673c0e1d29908346f3bab892b9b,7/16/17 1:32,3/2/21 4:07,Adware
70722097d1fe1d78d8c2164640ab6df4,7/16/17 2:39,5/4/21 9:52,Tofsee
9c2589e1c0e9f533a022c6205f9719e1,7/16/17 8:37,7/25/21 8:33,Adware
849b04bdbd1d2b983f6e8a457e0632a8,7/16/17 8:37,7/25/21 8:33,Adware
16efcf0e00504ddfedde13bfea997952,7/16/17 19:45,12/23/20 15:10,Adware
4d7a28d6f2263ed61de88ca66eb011e3,7/16/17 21:20,12/8/20 18:10,Tofsee
550dce18de1bb143e69d6dd9413b8355,7/16/17 22:17,12/21/18 7:04,Adware
c50f6a8b9173676b47ba6085bd0c6cee,7/16/17 22:38,5/21/19 9:42,TrickBot
590a232d04d56409fab72e752a8a2634,7/18/17 18:53,10/11/20 20:48,Tofsee
51a7ad14509fd614c7bb3a50c4982b8c,7/19/17 7:28,7/14/19 11:58,JBifrost
96eba628dcb2b47607192ba74a3b55ba,7/19/17 18:53,7/31/21 1:48,Tofsee
df5c30e670dba99f9270ed36060cf054,7/20/17 17:44,4/11/18 15:57,Tofsee
098f55e27d8c4b0a590102cbdb3a5f3a,7/21/17 9:52,4/8/19 1:09,Adware
29085f03f8e8a03f0b399c5c7cf0b0b8,7/22/17 14:07,4/11/21 6:42,Adware
46efd49abcca8ea9baa932da68fdb529,7/22/17 14:07,4/11/21 5:54,Adware
d7150af4514b868defb854db0f62a441,7/23/17 9:39,7/24/18 1:04,Tofsee
03e186a7f83285e93341de478334006e,7/24/17 18:17,3/20/21 7:45,Tofsee
3cda52da4ade09f1f781ad2e82dcfa20,7/30/17 18:41,5/21/19 17:34,Quakbot
b13d01846ad7a14a70bf030a16775c78,8/8/17 7:12,4/10/21 0:03,Adware
1543a7c46633acf71e8401baccbd0568,8/8/17 21:32,4/8/21 19:50,Tofsee
1d095e68489d3c535297cd8dffb06cb9,8/12/17 19:56,10/28/20 11:06,Tofsee
698e36219f3979420fa2581b21dac7ec,8/28/17 12:20,12/31/20 2:06,Adware
93d056782d649deb51cda44ecb714bb0,8/28/17 12:20,4/15/19 23:47,Adware
1712287800ac91b34cadd5884ce85568,8/28/17 16:01,7/28/21 14:16,TorrentLocker
5e573c9c9f8ba720ef9b18e9fce2e2f7,8/30/17 13:44,3/13/21 7:33,Adware
f6fd83a21f9f3c5f9ff7b5c63bbc179d,10/20/17 8:03,11/6/18 6:42,Adware
92579701f145605e9edc0b01a901c6d5,10/23/17 0:10,7/25/21 17:07,Adware
a61299f9b501adcf680b9275d79d4ac6,11/4/17 18:03,4/21/20 17:08,Tofsee
b2b61db7b9490a60d270ccb20b462826,11/14/17 20:12,6/6/21 20:27,Adware
7dcce5b76c8b17472d024758970a406b,11/22/17 12:42,3/16/21 12:53,Tofsee
534ce2dbc413c68e908363b5df0ae5e0,12/22/17 9:36,7/27/19 15:22,TrickBot
fb00055a1196aeea8d1bc609885ba953,1/1/18 22:49,4/9/19 6:58,TrickBot
a50a861119aceb0ccc74902e8fddb618,1/2/18 8:16,7/5/18 2:33,Tofsee
e7643725fcff971e3051fe0e47fc2c71,1/31/18 8:06,3/25/20 16:19,Tofsee
7c410ce832e848a3321432c9a82e972b,1/31/18 20:04,8/1/21 6:13,Tofsee
da949afd9bd6df820730f8f171584a71,2/3/18 5:19,3/8/21 22:10,Tofsee
906004246f3ba5e755b043c057254a29,3/11/18 8:25,4/14/18 0:59,Tofsee
fd80fa9c6120cdeea8520510f3c644ac,3/11/18 9:34,8/11/21 12:34,Tofsee
b90bdbe961a648f0427db21aaa6ccb59,3/11/18 10:37,5/29/20 23:39,Tofsee
1fe4c7a3544eb27afec2adfb3a3dbf60,3/11/18 19:23,8/9/21 11:42,Tofsee
c201b92f8b483fa388be174d6689f534,3/12/18 13:43,1/28/21 6:17,Gozi
9f62c4f26b90d3d757bea609e82f2eaf,3/13/18 6:23,5/20/21 23:01,Tofsee
1be3ecebe5aa9d3654e6e703d81f6928,3/13/18 11:50,8/11/21 13:02,Ransomware.Troldesh
e3b2ab1f9a56f2fb4c9248f2f41631fa,3/15/18 1:06,7/2/21 21:51,Tofsee
dff8a0aa1c904aaea76c5bf624e88333,3/18/18 9:41,10/27/20 9:50,Tofsee
17fd49722f8d11f3d76dce84f8e099a7,3/19/18 23:02,8/1/21 0:40,Tofsee
911479ac8a0813ed1241b3686ccdade9,3/19/18 23:24,3/30/20 4:09,Tofsee
c5deb9465d47232dd48772f9c4d14679,3/22/18 15:42,3/23/21 0:34,Tofsee
f22bdd57e3a52de86cda40da2d84e83b,3/27/18 13:40,1/20/19 14:31,Tofsee
d18a4da84af59e1108862a39bae7c9d4,4/3/18 0:40,2/6/21 1:53,Tofsee
2d8794cb7b52b777bee2695e79c15760,4/4/18 6:56,7/26/21 8:07,Ransomware
40adfd923eb82b89d8836ba37a19bca1,4/15/18 15:49,4/11/21 4:42,CoinMiner
1aee0238942d453d679fc1e37a303387,5/13/18 1:59,7/30/21 12:27,Tofsee
2092e1fffb45d7e4a19a57f9bc5e203a,5/16/18 21:59,9/5/18 1:58,Adware
bffa4501966196d3d6e90cee1f88fc89,6/7/18 15:08,3/16/20 0:03,Tofsee
807fca46d9d0cf63adf4e5e80e414bbe,6/7/18 16:51,8/7/21 3:15,Tofsee
fb58831f892190644fe44e25bc830b45,6/8/18 12:07,7/20/21 1:39,Adware
0cc1e84568e471aa1d62ad4158ade6b5,6/24/18 10:50,6/21/21 2:35,Tofsee
d2935c58fe676744fecc8614ee5356c7,8/14/18 21:48,8/11/21 11:54,Adwind
8916410db85077a5460817142dcbc8de,8/21/18 12:32,8/11/21 15:00,TrickBot
c5235d3a8b9934b7fbbd204d50bc058d,8/23/18 17:36,10/13/19 5:11,Gootkit
57f3642b4e37e28f5cbe3020c9331b4c,8/28/18 15:54,8/11/21 13:05,Gozi
e62a5f4d538cbf169c2af71bec2399b4,8/30/18 15:45,8/11/21 9:48,TrickBot
51c64c77e60f3980eea90869b68c58a8,8/30/18 21:04,8/11/21 8:13,Dridex
7691297bcb20a41233fd0a0baa0a3628,9/17/18 2:50,8/11/21 12:20,Adware
7dd50e112cd23734a310b90f6f44a7cd,9/17/18 17:54,8/1/21 11:28,Quakbot
52c7396a501e4fecbdfa99c5408334ac,9/18/18 0:29,12/3/19 17:24,Tofsee
fc54e0d16d9764783542f0146a98b300,9/24/18 12:33,8/11/21 12:51,AsyncRAT
f735bbc6b69723b9df7b0e7ef27872af,10/2/18 18:04,8/11/21 7:25,TrickBot
49ed2ef3f1321e5f044f1e71b0e6fdd5,10/2/18 18:04,8/8/21 22:08,TrickBot
d76ee64fb7273733cbe455ac81c292e6,11/16/18 13:26,11/18/18 19:19,Tofsee
8f6c918dcb585ebbea05e2cc94530e3d,11/16/18 13:26,5/6/20 15:45,Tofsee
34f14a69ad7009ca5863379218af17f3,11/17/18 5:17,1/28/21 8:19,Tofsee
c2b4710c6888a5d47befe865c8e6fb19,11/29/18 20:46,8/3/21 23:37,Tofsee
decfb48a53789ebe081b88aabb58ee34,12/21/18 9:06,6/14/21 5:27,Adwind
08a8a4e85b25ac42e1490bc85cfdb5ce,1/30/19 2:48,10/27/20 9:50,Tofsee
c0220cd64849a629397a9cb68f78a0ea,3/24/19 0:12,7/31/21 0:26,Tofsee
7a29c223fb122ec64d10f0a159e07996,6/9/19 22:55,10/27/20 9:50,None
70a04365be5bbd4653698bebeb43ce68,7/2/19 6:26,5/30/20 4:19,Tofsee
d81d654effb94714a4086734fa0adad9,7/16/19 23:29,10/27/20 9:50,Tofsee
25d74b7b4b779eb1efd4b31d26d651c6,8/3/19 20:15,7/14/20 21:43,Tofsee
fc2299d5b2964cd242c5a2c8c531a5f0,8/9/19 23:56,8/11/21 2:20,Tofsee
32926ca3e59f0413d0b98725454594f5,9/12/19 6:56,4/8/21 19:50,Tofsee
ffefafdb86336d057eda5fdf02b3d5ce,10/26/19 7:31,7/25/20 0:14,Tofsee
8515076cbbca9dce33151b798f782456,12/27/20 16:53,8/11/21 15:06,BitRAT
# END (97) entries,,,
